Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#BeAGirlWhoCodes,paromaprakriti,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2010,Jan,False,14,False,0
#BeAGirlWhoCodes,maravikumar,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2012,Sep,False,14,False,0
#BeAGirlWhoCodes,DrSanjayPSahoo,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2011,May,False,14,False,0
#BeAGirlWhoCodes,jaiswalop,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2009,Oct,False,14,False,0
#BeAGirlWhoCodes,catintp,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2008,Feb,False,14,False,0
#BeAGirlWhoCodes,richabht,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2009,Oct,False,14,False,0
#BeAGirlWhoCodes,reshmasaujani,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2009,Jul,False,14,False,0
#BeAGirlWhoCodes,stfrancishyd,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2010,Jul,False,14,False,0
#BeAGirlWhoCodes,tovikasbagri,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2009,Dec,False,14,False,0
#BeAGirlWhoCodes,USAndIndia,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2009,May,False,14,False,0
#BeAGirlWhoCodes,ravichaud,|RT @USAmbIndia: Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/h…|,2011,Mar,False,14,False,0
#BeAGirlWhoCodes,USAmbIndia,|Inspiring @TEDTalks from @reshmasaujani, Indian American founder of @GirlsWhoCode. #BeBrave #BeAGirlWhoCodes https://t.co/hjIt7T2Gxz|,2015,Jan,False,14,False,22
