Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#DistractinglySexy,AdventureMomo,RT @drtanthony: @KevinSpacey And here you could have had a #distractinglysexy Liver Transplant Surgeon. #HouseOfCards https://t.co/4tBnVwTR…,2009,Feb,False,1,False,0
#DistractinglySexy,Gut_Goddess,|RT @AnneWHilborn: When you are collecting cheetah poop and drop some on yourself.
#fieldworkfail
#distractinglysexy http://t.co/RvgHfauQ6P|,2014,Jul,False,162,False,0
#DistractinglySexy,mountain_lark,Made it to site by postholing and stomach crawling #fieldworkwin #fielddaysbestdays #distractinglysexy https://t.co/ONLSVMrMue,2014,Dec,False,0,False,1
#DistractinglySexy,FunSizeSuze,|RT @StandardIssueUK: According to a certain paper, Dr @FunSizeSuze is too #DistractinglySexy to be taken seriously. #BritishScienceWeek htt…|,2011,May,False,1,False,0
#DistractinglySexy,tisjuliet,RT @AAUW: 5 amazing women who "disrupted" science in the 19th &amp; early 20th century: http://t.co/PogcIA8YtN #distractinglysexy http://t.co/Z…,2011,Jan,False,195,False,0
#DistractinglySexy,CarolineDNS1990,#DistractinglySexy ? No!#DarnIrritated ? Yes!#BritishScienceWeek #WomenInSTEM @StandardIssueUK  https://t.co/mLRSe4fgSu,2013,May,False,0,False,0
#DistractinglySexy,StandardIssueUK,|According to a certain paper, Dr @FunSizeSuze is too #DistractinglySexy to be taken seriously. #BritishScienceWeek https://t.co/FPnWXQzPJ3|,2013,Oct,False,1,False,2
#DistractinglySexy,PoloPersonGwen,|RT @theduchessstill: Late to the party but here is my #distractinglysexy grandmother, Dorothy Hodgkin, heading for the Nobel prize. http://…|,2011,May,False,573,False,0
#DistractinglySexy,LoeSmiley,#distractinglysexy @Spector101 you are my everyday crush,2016,Jan,False,0,False,0
#DistractinglySexy,AinslieMoore,#distractinglysexy a tremendous response by women scientists to the academy and the community,2009,Dec,False,0,False,1
#DistractinglySexy,oz_bandicoot,#distractinglysexy response fantastic demonstration of #womeninscience #uaconf,2008,Jun,False,0,False,1
#DistractinglySexy,CauseScience1,RT @science_punx: Sexism in science is real. #distractinglysexy was a glimpse into a big problem. https://t.co/9HhRWnJi3F,2014,May,False,1,False,0
#DistractinglySexy,CauseScience1,|RT @alliespins: For #InternationalWomensDay I'm sharing a piece I wrote for @BLUNTmoms on #distractinglysexy #WomenInSTEM 
https://t.co/Tbv…|,2014,May,False,1,False,0
#DistractinglySexy,CauseScience1,New lab = new signage!! Glad the move is over and the new space is amazing!! back to #science #distractinglysexy https://t.co/l54QeVp60w,2014,May,False,0,False,4
#DistractinglySexy,Ingridium,|RT @AnneWHilborn: When you are collecting cheetah poop and drop some on yourself.
#fieldworkfail
#distractinglysexy http://t.co/RvgHfauQ6P|,2009,Apr,False,162,False,0
#DistractinglySexy,hufbauer,|RT @KTInvasion: .@hufbauer Racism and sexism exist in science. Plenty of examples. Sometimes we can joke (ala #distractinglysexy), often not|,2009,Feb,False,4,False,0
#DistractinglySexy,TheVelvetDays,|RT @KTInvasion: .@hufbauer Racism and sexism exist in science. Plenty of examples. Sometimes we can joke (ala #distractinglysexy), often not|,2009,Apr,False,4,False,0
#DistractinglySexy,gbaucom,|RT @KTInvasion: .@hufbauer Racism and sexism exist in science. Plenty of examples. Sometimes we can joke (ala #distractinglysexy), often not|,2009,Jun,False,4,False,0
#DistractinglySexy,Drew_Lab,|RT @KTInvasion: .@hufbauer Racism and sexism exist in science. Plenty of examples. Sometimes we can joke (ala #distractinglysexy), often not|,2012,May,False,4,False,0
#DistractinglySexy,KTInvasion,|.@hufbauer Racism and sexism exist in science. Plenty of examples. Sometimes we can joke (ala #distractinglysexy), often not|,2011,Nov,False,4,False,7
#DistractinglySexy,alliespins,|For #InternationalWomensDay I'm sharing a piece I wrote for @BLUNTmoms on #distractinglysexy #WomenInSTEM 
https://t.co/Tbv4tb7FpV|,2014,Aug,False,1,False,3
#DistractinglySexy,ystriya,And a special happy #WomensDay to all those #distractinglysexy scientists out there!,2014,Apr,False,0,False,0
#DistractinglySexy,AllisonWall17,In honor of #internationalwomensday I took this #distractinglysexy lab picture. I'm  incredibly… https://t.co/ERzNITPGEe,2016,Jan,False,0,False,2
#DistractinglySexy,missyspitzer,RT @Independent: Women scientists show how hard it is to concentrate on work when you're so #distractinglysexy http://t.co/zxIoSJgrGY http:…,2011,Apr,False,772,False,0
#DistractinglySexy,archaeo_jacq,RT @crar_m: #distractinglysexy CRAR+M director @JoMcDonald12 in bright pink for #IWD2016 https://t.co/jo8lm7a8C7,2011,Jan,False,2,False,0
#DistractinglySexy,crar_m,RT @JoMcDonald12: @crar_m always was- always will be #distractinglysexy #fashionista,2016,Mar,False,1,False,0
#DistractinglySexy,JoMcDonald12,@crar_m always was- always will be #distractinglysexy #fashionista,2013,Feb,False,1,False,5
