Keyword,Screen_Name,Text,Created_At_Year,Created_At_Month,Retweeted,Retweet_Count,Favorited,Favorite_Count
#ILookLikeAnEngineer,_KevinRathgeber,RT @cmbrookins: We need more women in STEM fields! #ILookLikeAnEngineer #softwaredeveloper https://t.co/hqwI6Z3V3t https://t.co/kXrrNE7uFs,2011,Jun,False,12,False,0
#ILookLikeAnEngineer,catloafing,|RT @MichelleGlauser: New programming playing cards! ♣️♦️♠️♥️ Thanks, @michaelctsai. Source='https://t.co/OylAiSErZr' #ILookLikeAnEngineer h…|,2007,May,False,4,False,0
#ILookLikeAnEngineer,tedslater,|RT @hdeus: Death by a thousand cuts - this article nails it perfectly
#ILookLikeAnEngineer

https://t.co/Snh37Ttfcs|,2007,Dec,False,1,False,0
#ILookLikeAnEngineer,Luis_ENGR,|RT @ASMEdotorg: Meet Amy Chambers, an #engineer who's racing toward the future https://t.co/s1xH7JFigr #ILookLikeAnEngineer https://t.co/Ht…|,2016,Mar,False,2,False,0
#ILookLikeAnEngineer,hdeus,|Death by a thousand cuts - this article nails it perfectly
#ILookLikeAnEngineer

https://t.co/Snh37Ttfcs|,2009,Feb,False,1,False,0
#ILookLikeAnEngineer,GirlsontheRunIA,RT @GOTRNOVA: Kudos to @nbcnews on their #31Days of Feminism articles! We love #female #engineer Tracy Chou! https://t.co/RNF0UzaMyW #ilook…,2011,Sep,False,1,False,0
#ILookLikeAnEngineer,GOTRNOVA,Kudos to @nbcnews on their #31Days of Feminism articles! We love #female #engineer Tracy Chou! https://t.co/RNF0UzaMyW #ilooklikeanengineer,2009,Nov,False,1,False,5
#ILookLikeAnEngineer,GadgetGoals,The Surprising Reasons Why Most Girls Don’t Code https://t.co/nbb6DJeJTO via @FortuneMagazine #ILookLikeAnEngineer https://t.co/VM5OumDlId,2016,Feb,False,0,False,0
#ILookLikeAnEngineer,CoderShirts,|#iLookLikeAnEngineer Women's Fitted V-Neck T-Shirt
https://t.co/LvXd3MdP8Y #Programmer #Shirt https://t.co/rNvr7UpKlc|,2013,Jun,False,0,False,0
